           2012 , 6    
          ABOUT , 5    
        AMERICA , 6    
        ARTICLE , 5    
       FACEBOOK , 5    
           FROM , 8    
         HEALTH , 5    
           HELP , 5    
           LIFE , 5    
          LOCAL , 5    
           MINS , 5    
           MORE , 13   
           NEWS , 32   
          OBAMA , 5    
           PAGE , 17   
          PAGES , 6    
           PAPA , 5    
       PETRAEUS , 7    
       POLITICS , 5    
           POOP , 6    
           SAID , 7    
         SEARCH , 7    
           THAT , 10   
           THIS , 8    
          VIDEO , 16   
      WIKIPEDIA , 9    
           WITH , 8    
          WORLD , 5    
          YAHOO , 20   
           YOUR , 7    
