           HAVE , 24   
         HAVENT , 3    
         HAVING , 5    
           HEAD , 14   
          HEADS , 5    
           HEAR , 4    
          HEARD , 13   
        HEARING , 2    
          HEDGE , 2    
         HEIGHT , 4    
           HELD , 3    
           HELP , 3    
           HERE , 25   
        HERSELF , 49   
           HIGH , 11   
        HISTORY , 3    
           HOLD , 5    
        HOLDING , 2    
           HOME , 4    
         HONOUR , 4    
         HOOKAH , 5    
           HOPE , 3    
         HOPING , 2    
          HOUSE , 12   
        HOWEVER , 11   
        HUNTING , 2    
        HURRIED , 4    
          HURRY , 6    
           HURT , 2    
           IDEA , 8    
      IMPORTANT , 2    
         INCHES , 6    
         INDEED , 10   
           INTO , 28   
           ITLL , 8    
         ITSELF , 6    
           JAWS , 2    
          JUDGE , 2    
         JUMPED , 2    
           JURY , 2    
           JUST , 17   
           KEEP , 3    
           KEPT , 6    
           KICK , 3    
           KIND , 4    
           KNEW , 2    
           KNOW , 31   
        KNOWING , 2    
      KNOWLEDGE , 7    
          LABEL , 2    
          LARGE , 13   
         LARGER , 6    
           LAST , 20   
           LATE , 4    
       LATITUDE , 2    
          LEARN , 3    
          LEAST , 3    
          LEAVE , 2    
         LEAVES , 5    
           LEFT , 3    
        LESSONS , 5    
          LEWIS , 5    
        LIBRARY , 10   
           LIFE , 6    
           LIKE , 35   
          LIKED , 3    
         LIKELY , 4    
         LISTEN , 4    
     LITERATURE , 10   
  LITERATUREORG , 10   
         LITTLE , 71   
          LOCKS , 2    
           LONG , 17   
         LONGER , 2    
      LONGITUDE , 2    
           LOOK , 10   
         LOOKED , 14   
        LOOKING , 10   
           LORY , 7    
           LOST , 3    
           LOUD , 2    
         LOVELY , 2    
        LUCKILY , 2    
          LYING , 4    
          MABEL , 4    
           MADE , 15   
           MAKE , 12   
          MAKES , 2    
         MAKING , 5    
         MANAGE , 4    
        MANAGED , 4    
           MANY , 6    
         MARKED , 5    
           MARY , 4    
         MATTER , 3    
        MATTERS , 6    
           MEAN , 2    
        MEANING , 2    
          MEANS , 2    
           MEET , 2    
     MELANCHOLY , 3    
      MENTIONED , 2    
         MERCIA , 2    
       MESSAGES , 2    
           MICE , 3    
         MIDDLE , 4    
          MIGHT , 12   
          MILES , 2    
           MIND , 6    
           MINE , 2    
         MINUTE , 8    
        MINUTES , 7    
           MISS , 2    
         MOMENT , 17   
         MORCAR , 2    
           MORE , 21   
        MORNING , 3    
          MOUSE , 37   
          MOUTH , 6    
         MOVING , 2    
           MUCH , 18   
       MUSHROOM , 6    
           MUST , 22   
      MUTTERING , 2    
         MYSELF , 4    
           NAME , 3    
         NARROW , 2    
        NATURAL , 2    
           NEAR , 8    
         NEARLY , 2    
         NEATLY , 2    
           NECK , 6    
          NEVER , 18   
           NEXT , 18   
       NIBBLING , 2    
           NICE , 5    
          NIGHT , 2    
           NINE , 3    
         NOBODY , 2    
       NONSENSE , 2    
    NORTHUMBRIA , 2    
        NOTHING , 14   
         NOTICE , 2    
        NOTICED , 4    
        NOWHERE , 2    
         NUMBER , 3    
       OCCURRED , 2    
       OFFENDED , 6    
          OLDER , 2    
           ONCE , 15   
           ONES , 2    
         ONLINE , 10   
           ONLY , 15   
           OPEN , 4    
         OPENED , 3    
        OPENING , 2    
    OPPORTUNITY , 4    
          OTHER , 15   
         OTHERS , 2    
          OUGHT , 7    
    OUTOFTHEWAY , 3    
        OUTSIDE , 2    
           OVER , 15   
           PAIR , 5    
        PANTING , 2    
         PARDON , 4    
          PARIS , 2    
     PARTICULAR , 3    
          PARTY , 5    
        PASSAGE , 3    
      PATTERING , 3    
           PAWS , 2    
